course_name,course_url,lesson_count,price,description,instructor,rating,difficulty_level,text
frameworks for effective problem solving,https://courses.analyticsvidhya.com/courses/frameworks-for-effective-problem-solving,18 Lessons,Free,"master the art of structured thinking to tackle complex challenges effectively. this course covers essential frameworks like smart, mece, and issue trees, guiding you in defining and solving problem statements while avoiding common pitfalls. learn practical, step-by-step methods to enhance decision-making and problem-solving skills.",Ajoy Singh,4.9/5,Beginner,"frameworks for effective problem solving master the art of structured thinking to tackle complex challenges effectively. this course covers essential frameworks like smart, mece, and issue trees, guiding you in defining and solving problem statements while avoiding common pitfalls. learn practical, step-by-step methods to enhance decision-making and problem-solving skills."
anyone can build ai agents - free course,https://courses.analyticsvidhya.com/courses/your-ultimate-guide-to-becoming-an-agentic-ai-expert-by-2025,5 Lessons,Free,"unlock the power of ai without any programming! this beginner-friendly course is designed for individuals who want to harness generative ai’s potential without diving into code. in this course, you’ll learn to create, deploy, and customize an ai agent using an intuitive no-code platform wordware. step by step, we’ll guide you through setting up your agent to handle real-world tasks.throughout the course, you’ll explore various tools, leverage pre-built ai models, and customize your agent’s behavior without writing a single line of code.by the end, you will be able to build your own ai agent ready to tackle business and personal projects, with the skills to innovate faster and more efficiently.",Apoorv Vishnoi,0/5,Unknown,"anyone can build ai agents - free course unlock the power of ai without any programming! this beginner-friendly course is designed for individuals who want to harness generative ai’s potential without diving into code. in this course, you’ll learn to create, deploy, and customize an ai agent using an intuitive no-code platform wordware. step by step, we’ll guide you through setting up your agent to handle real-world tasks.throughout the course, you’ll explore various tools, leverage pre-built ai models, and customize your agent’s behavior without writing a single line of code.by the end, you will be able to build your own ai agent ready to tackle business and personal projects, with the skills to innovate faster and more efficiently."
a comprehensive learning path to become a data analyst in 2025,https://courses.analyticsvidhya.com/courses/a-comprehensive-learning-path-to-become-a-data-analyst-in-2025,298 Lessons,Free,"where do i begin? data analyst is such a huge field - where do you even start learning about data analyst?these are career-defining questions often asked by data analyst aspirants. there are a million resources out there to refer but the learning journey can be quite exhausting if you don’t know where to start.don’t worry, we are here to help you take your first steps into the world of data analytics! here’s the learning path for people who want to become a data analyst in 2025. we have arranged and compiled all the best resources in a structured manner so that you have a unified resource to become a successful data analyst.moreover, we have added the most in-demand skills for the year 2025 for data analyst along with exercises and assignments.","Kunal Jain, Founder & CEO, Analytics Vidhya",4.8/5,Beginner,"a comprehensive learning path to become a data analyst in 2025 where do i begin? data analyst is such a huge field - where do you even start learning about data analyst?these are career-defining questions often asked by data analyst aspirants. there are a million resources out there to refer but the learning journey can be quite exhausting if you don’t know where to start.don’t worry, we are here to help you take your first steps into the world of data analytics! here’s the learning path for people who want to become a data analyst in 2025. we have arranged and compiled all the best resources in a structured manner so that you have a unified resource to become a successful data analyst.moreover, we have added the most in-demand skills for the year 2025 for data analyst along with exercises and assignments."
reimagining genai: common mistakes and best practices for success,https://courses.analyticsvidhya.com/courses/reimagining-genai-common-mistakes-and-best-practices-for-success,6 Lessons,Free,"generative ai is transforming industries, but implementation challenges often hinder its success. this course, led by experienced genai expert shabazz mohammed, dives deep into the pitfalls of adopting generative ai and provides actionable best practices to overcome them.learn from real-world scenarios, understand why hi-fi demos fail in production, and gain insights into scalable, ethical, and roi-driven ai adoption.",Shahebaz Mohammad,4.8/5,Beginner,"reimagining genai: common mistakes and best practices for success generative ai is transforming industries, but implementation challenges often hinder its success. this course, led by experienced genai expert shabazz mohammed, dives deep into the pitfalls of adopting generative ai and provides actionable best practices to overcome them.learn from real-world scenarios, understand why hi-fi demos fail in production, and gain insights into scalable, ethical, and roi-driven ai adoption."
coding a chatgpt-style language model from scratch in pytorch,https://courses.analyticsvidhya.com/courses/coding-a-chatgpt-style-language-model-from-scratch-in-pytorch,7 Lessons,Free,"master the art of building a chatgpt-style language model from scratch with pytorch.in this course, you'll explore essential nlp concepts, implement transformers, and create a decoder-only architecture step-by-step. guided by expert tutorials, gain practical skills to develop advanced ai models tailored for real-world applications.",Dr. Joshua Starmer,4.8/5,Beginner,"coding a chatgpt-style language model from scratch in pytorch master the art of building a chatgpt-style language model from scratch with pytorch.in this course, you'll explore essential nlp concepts, implement transformers, and create a decoder-only architecture step-by-step. guided by expert tutorials, gain practical skills to develop advanced ai models tailored for real-world applications."
mastering multilingual genai open-weights for indic languages,https://courses.analyticsvidhya.com/courses/mastering-multilingual-genai-open-weights-for-indic-languages,9 Lessons,Free,"mastering multilingual genai – open-weights for indic languages""is a course designed to equip you with the knowledge to develop state-of-the-art multilingual ai models using open-weight architectures. focusing on low-resource languages, particularly indic languages, the course covers essential topics like multilingual ai training, instruction fine-tuning, model building, and performance evaluation.",Viraat Aryabumi,4.7/5,Beginner,"mastering multilingual genai open-weights for indic languages mastering multilingual genai – open-weights for indic languages""is a course designed to equip you with the knowledge to develop state-of-the-art multilingual ai models using open-weight architectures. focusing on low-resource languages, particularly indic languages, the course covers essential topics like multilingual ai training, instruction fine-tuning, model building, and performance evaluation."
learning autonomous driving behaviors with llms & rl,https://courses.analyticsvidhya.com/courses/learning-autonomous-driving-behaviors-with-llms-and-rl,6 Lessons,Free,"this course dives into the development of autonomous driving behaviors using reinforcement learning (rl) and large language models (llms). you’ll explore how rl agents are trained to navigate complex, real-world environments while making safe, human-like driving decisions. the course tackles key challenges such as designing effective reward systems, ensuring safety in high-speed driving scenarios, and improving the interpretability of ai decisions. through practical projects, you will design rl agents using techniques like deep q-networks (dqn), experience replay, and integrate llms to enhance decision-making.",Mayank Baranwal,4.7/5,Intermediate,"learning autonomous driving behaviors with llms & rl this course dives into the development of autonomous driving behaviors using reinforcement learning (rl) and large language models (llms). you’ll explore how rl agents are trained to navigate complex, real-world environments while making safe, human-like driving decisions. the course tackles key challenges such as designing effective reward systems, ensuring safety in high-speed driving scenarios, and improving the interpretability of ai decisions. through practical projects, you will design rl agents using techniques like deep q-networks (dqn), experience replay, and integrate llms to enhance decision-making."
genai applied to quantitative finance: for control implementation,https://courses.analyticsvidhya.com/courses/genai-applied-to-quantitative-finance-for-control-implementation,5 Lessons,Free,"this course explores the application of generative ai in quantitative finance, focusing on building sustainable trading algorithms through keyword extraction, sentiment analysis, and time-series forecasting. learn to predict commodity prices, such as gold, by integrating data from financial news sources, leveraging sentiment analysis, and optimizing models for robust trading signals.","Sidharth Kumar, Principal Data Scientist at Intuit",4.7/5,Intermediate,"genai applied to quantitative finance: for control implementation this course explores the application of generative ai in quantitative finance, focusing on building sustainable trading algorithms through keyword extraction, sentiment analysis, and time-series forecasting. learn to predict commodity prices, such as gold, by integrating data from financial news sources, leveraging sentiment analysis, and optimizing models for robust trading signals."
"navigating llm tradeoffs: techniques for speed, cost, scale & accuracy",https://courses.analyticsvidhya.com/courses/navigating-llm-tradeoffs-techniques-for-speed-cost-scale-and-accuracy,6 Lessons,Free,"this course provides a concise guide to optimizing large language models (llms) by navigating tradeoffs in speed, cost, scale, and accuracy. learn practical techniques like lora, model quantization, and parameter-efficient fine-tuning to improve performance while reducing costs. you'll explore various deployment strategies and understand how to evaluate llms using industry-standard benchmarks, making this course ideal for anyone seeking efficient, scalable ai solutions.",Kartik Nighania,4.8/5,Beginner,"navigating llm tradeoffs: techniques for speed, cost, scale & accuracy this course provides a concise guide to optimizing large language models (llms) by navigating tradeoffs in speed, cost, scale, and accuracy. learn practical techniques like lora, model quantization, and parameter-efficient fine-tuning to improve performance while reducing costs. you'll explore various deployment strategies and understand how to evaluate llms using industry-standard benchmarks, making this course ideal for anyone seeking efficient, scalable ai solutions."
creating problem-solving agents using genai for action composition,https://courses.analyticsvidhya.com/courses/creating-problem-solving-agents-using-genai-for-action-composition,6 Lessons,Free,"this introductory course provides a concise overview of agentic ai systems, covering their evolution, current state, and practical applications. you will explore key topics including the history of agentic ai systems, the role of agents today, multi-agent systems, and practical solutions for implementing them. perfect for those seeking a foundational understanding of intelligent agentic ai systems in action.",Vikas Agrawal,4.7/5,Beginner,"creating problem-solving agents using genai for action composition this introductory course provides a concise overview of agentic ai systems, covering their evolution, current state, and practical applications. you will explore key topics including the history of agentic ai systems, the role of agents today, multi-agent systems, and practical solutions for implementing them. perfect for those seeking a foundational understanding of intelligent agentic ai systems in action."
